Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[2734/3110] Compiling src/ndnSIM/examples/ndn-tree-cs-tracers.cpp
[3068/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-tree-cs-tracers-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (9.319s)
Node1 34 40
Node10 67 75
Node100 63 79
Node101 64 72
Node1000 536 73
Node1001 529 81
Node1010 538 72
Node1011 532 75
Node10000 0 208
Node10001 0 208
Node10001_ 0 208
Node10010 0 208
Node10011 0 208
Node10011_ 0 208
Node10100 0 208
Node10101 0 208
Node10101_ 0 208
Node10110 0 208
Node10111 0 207
Node10111_ 0 207
Node3 38 41
Node30 63 79
Node300 61 77
Node301 63 74
Node3000 533 71
Node3001 524 79
Node3010 526 75
Node3011 527 74
Node30000 0 206
Node30001 0 206
Node30001_ 0 206
Node30010 0 206
Node30011 0 206
Node30011_ 0 206
Node30100 0 206
Node30101 0 205
Node30101_ 0 205
Node30110 0 205
Node30111 0 205
Node30111_ 0 205
Node2 35 41
Node20 65 75
Node200 67 77
Node201 63 73
Node2000 530 77
Node2001 529 78
Node2010 529 76
Node2011 533 71
Node20000 0 207
Node20001 0 207
Node20001_ 0 207
Node20010 0 207
Node20011 0 207
Node20011_ 0 207
Node20100 0 207
Node20101 0 207
Node20101_ 0 206
Node20110 0 206
Node20111 0 206
Node20111_ 0 206
Node4 34 41
Node40 64 74
Node400 62 70
Node401 64 77
Node4000 534 67
Node4001 522 76
Node4010 515 83
Node4011 528 70
Node40000 0 205
Node40001 0 205
Node40001_ 0 205
Node40010 0 205
Node40011 0 204
Node40011_ 0 204
Node40100 0 204
Node40101 0 204
Node40101_ 0 204
Node40110 0 204
Node40111 0 204
Node40111_ 0 204
Producer1 0 133
