Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2731/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[2732/3110] Compiling src/ndnSIM/examples/ndn-tree-cs-tracers.cpp
[3068/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-tree-cs-tracers-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.961s)
Node1 3 60
Node10 48 63
Node100 51 61
Node101 51 59
Node1000 548 61
Node1001 548 62
Node1010 549 61
Node1011 547 60
Node10000 0 208
Node10001 0 208
Node10001_ 0 208
Node10010 0 208
Node10011 0 208
Node10011_ 0 208
Node10100 0 208
Node10101 0 208
Node10101_ 0 208
Node10110 0 208
Node10111 0 207
Node10111_ 0 207
Node3 3 62
Node30 49 64
Node300 51 59
Node301 51 63
Node3000 544 60
Node3001 542 61
Node3010 539 62
Node3011 538 63
Node30000 0 206
Node30001 0 206
Node30001_ 0 206
Node30010 0 206
Node30011 0 206
Node30011_ 0 206
Node30100 0 206
Node30101 0 205
Node30101_ 0 205
Node30110 0 205
Node30111 0 205
Node30111_ 0 205
Node2 3 61
Node20 51 63
Node200 49 63
Node201 50 61
Node2000 544 63
Node2001 547 60
Node2010 544 61
Node2011 543 61
Node20000 0 207
Node20001 0 207
Node20001_ 0 207
Node20010 0 207
Node20011 0 207
Node20011_ 0 207
Node20100 0 207
Node20101 0 207
Node20101_ 0 206
Node20110 0 206
Node20111 0 206
Node20111_ 0 206
Node4 2 60
Node40 52 61
Node400 46 62
Node401 49 60
Node4000 541 60
Node4001 539 59
Node4010 538 60
Node4011 538 60
Node40000 0 205
Node40001 0 205
Node40001_ 0 205
Node40010 0 205
Node40011 0 204
Node40011_ 0 204
Node40100 0 204
Node40101 0 204
Node40101_ 0 204
Node40110 0 204
Node40111 0 204
Node40111_ 0 204
Producer1 0 214
