Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.904s)
Node1 1 21
Node10 9 21
Node100 11 19
Node101 11 20
Node1000 589 20
Node1001 589 21
Node1010 589 21
Node1011 586 21
Node10000 0 208
Node10001 0 208
Node10001_ 0 208
Node10010 0 208
Node10011 0 208
Node10011_ 0 208
Node10100 0 208
Node10101 0 208
Node10101_ 0 208
Node10110 0 208
Node10111 0 207
Node10111_ 0 207
Node3 1 20
Node30 13 20
Node300 10 20
Node301 11 22
Node3000 584 20
Node3001 582 21
Node3010 579 22
Node3011 579 22
Node30000 0 206
Node30001 0 206
Node30001_ 0 206
Node30010 0 206
Node30011 0 206
Node30011_ 0 206
Node30100 0 206
Node30101 0 205
Node30101_ 0 205
Node30110 0 205
Node30111 0 205
Node30111_ 0 205
Node2 1 21
Node20 11 21
Node200 9 22
Node201 11 19
Node2000 586 21
Node2001 586 21
Node2010 584 21
Node2011 584 20
Node20000 0 207
Node20001 0 207
Node20001_ 0 207
Node20010 0 207
Node20011 0 207
Node20011_ 0 207
Node20100 0 207
Node20101 0 207
Node20101_ 0 206
Node20110 0 206
Node20111 0 206
Node20111_ 0 206
Node4 2 21
Node40 12 23
Node400 11 22
Node401 9 22
Node4000 581 20
Node4001 574 24
Node4010 577 21
Node4011 577 21
Node40000 0 205
Node40001 0 205
Node40001_ 0 205
Node40010 0 205
Node40011 0 204
Node40011_ 0 204
Node40100 0 204
Node40101 0 204
Node40101_ 0 204
Node40110 0 204
Node40111 0 204
Node40111_ 0 204
Producer1 0 54
