Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[2732/3110] Compiling src/ndnSIM/examples/ndn-tree-cs-tracers.cpp
[3068/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-tree-cs-tracers-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.167s)
Node1 2 40
Node10 30 42
Node100 31 40
Node101 30 41
Node1000 568 41
Node1001 569 41
Node1010 569 41
Node1011 566 41
Node10000 0 208
Node10001 0 208
Node10001_ 0 208
Node10010 0 208
Node10011 0 208
Node10011_ 0 208
Node10100 0 208
Node10101 0 208
Node10101_ 0 208
Node10110 0 208
Node10111 0 207
Node10111_ 0 207
Node3 4 41
Node30 30 45
Node300 31 41
Node301 31 43
Node3000 564 40
Node3001 559 44
Node3010 560 41
Node3011 556 45
Node30000 0 206
Node30001 0 206
Node30001_ 0 206
Node30010 0 206
Node30011 0 206
Node30011_ 0 206
Node30100 0 206
Node30101 0 205
Node30101_ 0 205
Node30110 0 205
Node30111 0 205
Node30111_ 0 205
Node2 2 41
Node20 32 42
Node200 32 42
Node201 29 42
Node2000 563 44
Node2001 566 41
Node2010 564 41
Node2011 563 41
Node20000 0 207
Node20001 0 207
Node20001_ 0 207
Node20010 0 207
Node20011 0 207
Node20011_ 0 207
Node20100 0 207
Node20101 0 207
Node20101_ 0 206
Node20110 0 206
Node20111 0 206
Node20111_ 0 206
Node4 1 41
Node40 32 41
Node400 28 41
Node401 30 41
Node4000 561 40
Node4001 558 40
Node4010 557 41
Node4011 557 41
Node40000 0 205
Node40001 0 205
Node40001_ 0 205
Node40010 0 205
Node40011 0 204
Node40011_ 0 204
Node40100 0 204
Node40101 0 204
Node40101_ 0 204
Node40110 0 204
Node40111 0 204
Node40111_ 0 204
Producer1 0 133
