Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.713s)
Node1 12 21
Node10 16 32
Node100 1 29
Node101 3 28
Node1000 589 20
Node1001 589 21
Node1010 589 21
Node1011 586 21
Node10000 0 208
Node10001 0 208
Node10001_ 0 208
Node10010 0 208
Node10011 0 208
Node10011_ 0 208
Node10100 0 208
Node10101 0 208
Node10101_ 0 208
Node10110 0 208
Node10111 0 207
Node10111_ 0 207
Node3 12 20
Node30 17 31
Node300 3 27
Node301 3 30
Node3000 584 20
Node3001 582 21
Node3010 579 22
Node3011 579 22
Node30000 0 206
Node30001 0 206
Node30001_ 0 206
Node30010 0 206
Node30011 0 206
Node30011_ 0 206
Node30100 0 206
Node30101 0 205
Node30101_ 0 205
Node30110 0 205
Node30111 0 205
Node30111_ 0 205
Node2 12 21
Node20 17 32
Node200 2 29
Node201 1 29
Node2000 586 21
Node2001 586 21
Node2010 584 21
Node2011 584 20
Node20000 0 207
Node20001 0 207
Node20001_ 0 207
Node20010 0 207
Node20011 0 207
Node20011_ 0 207
Node20100 0 207
Node20101 0 207
Node20101_ 0 206
Node20110 0 206
Node20111 0 206
Node20111_ 0 206
Node4 14 21
Node40 16 35
Node400 0 33
Node401 4 27
Node4000 581 20
Node4001 574 24
Node4010 577 21
Node4011 577 21
Node40000 0 205
Node40001 0 205
Node40001_ 0 205
Node40010 0 205
Node40011 0 204
Node40011_ 0 204
Node40100 0 204
Node40101 0 204
Node40101_ 0 204
Node40110 0 204
Node40111 0 204
Node40111_ 0 204
Producer1 0 54
